feature_name,classification,leakage_type,detected,severity,justification_notes
day_of_week,requires_justification,calendar_temporal_proxy,False,NONE,Deterministic calendar feature known in advance at prediction time
is_weekend,requires_justification,calendar_temporal_proxy,False,NONE,Deterministic calendar feature known in advance at prediction time
is_holiday,requires_justification,calendar_temporal_proxy,False,NONE,Deterministic calendar feature known in advance at prediction time
is_festival,requires_justification,calendar_temporal_proxy,False,NONE,Deterministic calendar feature known in advance at prediction time
is_stubble_season,requires_justification,calendar_temporal_proxy,False,NONE,Deterministic calendar feature known in advance at prediction time
month,requires_justification,calendar_temporal_proxy,False,NONE,Deterministic calendar feature known in advance at prediction time
quarter,requires_justification,calendar_temporal_proxy,False,NONE,Deterministic calendar feature known in advance at prediction time
day_of_year,requires_justification,calendar_temporal_proxy,False,NONE,Deterministic calendar feature known in advance at prediction time
week_of_year,requires_justification,calendar_temporal_proxy,False,NONE,Deterministic calendar feature known in advance at prediction time
is_winter,safe,none,False,NONE,Prediction-safe feature
is_summer,safe,none,False,NONE,Prediction-safe feature
is_monsoon,safe,none,False,NONE,Prediction-safe feature
is_post_monsoon,safe,none,False,NONE,Prediction-safe feature
days_until_diwali,requires_justification,calendar_temporal_proxy,False,NONE,Deterministic calendar feature known in advance at prediction time
days_since_diwali,requires_justification,calendar_temporal_proxy,False,NONE,Deterministic calendar feature known in advance at prediction time
festival_window,requires_justification,calendar_temporal_proxy,False,NONE,Deterministic calendar feature known in advance at prediction time
traffic_activity_proxy,safe,none,False,NONE,Prediction-safe feature
wind_x,unsafe,same_day_simultaneous_measurement,True,HIGH,Same-day observation or identifier cannot be used for 1-day step-ahead forecasting
wind_y,unsafe,same_day_simultaneous_measurement,True,HIGH,Same-day observation or identifier cannot be used for 1-day step-ahead forecasting
temperature_humidity_index,unsafe,same_day_simultaneous_measurement,True,HIGH,Same-day observation or identifier cannot be used for 1-day step-ahead forecasting
is_raining,safe,none,False,NONE,Prediction-safe feature
consecutive_rain_days,safe,none,False,NONE,Prediction-safe feature
dry_day_count,safe,none,False,NONE,Prediction-safe feature
temperature_change,unsafe,same_day_simultaneous_measurement,True,HIGH,Same-day observation or identifier cannot be used for 1-day step-ahead forecasting
humidity_change,unsafe,same_day_simultaneous_measurement,True,HIGH,Same-day observation or identifier cannot be used for 1-day step-ahead forecasting
pressure_change,unsafe,same_day_simultaneous_measurement,True,HIGH,Same-day observation or identifier cannot be used for 1-day step-ahead forecasting
wind_speed_change,unsafe,same_day_simultaneous_measurement,True,HIGH,Same-day observation or identifier cannot be used for 1-day step-ahead forecasting
wind_direction_change,unsafe,same_day_simultaneous_measurement,True,HIGH,Same-day observation or identifier cannot be used for 1-day step-ahead forecasting
fire_hotspot_sum_7d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
fire_hotspot_sum_14d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
fire_hotspot_ma_3d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
fire_hotspot_ma_7d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
brightness_trend,safe,none,False,NONE,Prediction-safe feature
high_confidence_fire_ratio,safe,none,False,NONE,Prediction-safe feature
fire_acceleration,safe,none,False,NONE,Prediction-safe feature
fire_momentum,safe,none,False,NONE,Prediction-safe feature
fire_density,safe,none,False,NONE,Prediction-safe feature
fire_anomaly,safe,none,False,NONE,Prediction-safe feature
wind_weighted_hotspot_transport_score,safe,none,False,NONE,Prediction-safe feature
distance_weighted_hotspot_score,safe,none,False,NONE,Prediction-safe feature
pm25_pm10_ratio,unsafe,same_day_simultaneous_measurement,True,HIGH,Same-day observation or identifier cannot be used for 1-day step-ahead forecasting
no2_so2_ratio,unsafe,same_day_simultaneous_measurement,True,HIGH,Same-day observation or identifier cannot be used for 1-day step-ahead forecasting
co_normalized,unsafe,same_day_simultaneous_measurement,True,HIGH,Same-day observation or identifier cannot be used for 1-day step-ahead forecasting
daily_pollutant_trend,unsafe,same_day_simultaneous_measurement,True,HIGH,Same-day observation or identifier cannot be used for 1-day step-ahead forecasting
pollutant_rolling_avg,unsafe,same_day_simultaneous_measurement,True,HIGH,Same-day observation or identifier cannot be used for 1-day step-ahead forecasting
pollutant_volatility,unsafe,same_day_simultaneous_measurement,True,HIGH,Same-day observation or identifier cannot be used for 1-day step-ahead forecasting
pollutant_zscore,unsafe,same_day_simultaneous_measurement,True,HIGH,Same-day observation or identifier cannot be used for 1-day step-ahead forecasting
pollutant_anomaly_score,unsafe,same_day_simultaneous_measurement,True,HIGH,Same-day observation or identifier cannot be used for 1-day step-ahead forecasting
fire_count_x_wind_speed,safe,none,False,NONE,Prediction-safe feature
fire_count_x_wind_dir_nw,safe,none,False,NONE,Prediction-safe feature
temp_x_humidity,safe,none,False,NONE,Prediction-safe feature
temp_x_rainfall,safe,none,False,NONE,Prediction-safe feature
pressure_x_wind,safe,none,False,NONE,Prediction-safe feature
festival_x_fire_count,safe,none,False,NONE,Prediction-safe feature
weekend_x_traffic_proxy,safe,none,False,NONE,Prediction-safe feature
month_x_fire_count,safe,none,False,NONE,Prediction-safe feature
pm25_lag_1d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
pm25_lag_2d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
pm25_lag_3d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
pm25_lag_7d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
pm25_lag_14d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
pm10_lag_1d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
pm10_lag_2d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
pm10_lag_3d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
pm10_lag_7d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
pm10_lag_14d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
no2_lag_1d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
no2_lag_2d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
no2_lag_3d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
no2_lag_7d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
no2_lag_14d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
temperature_c_lag_1d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
temperature_c_lag_2d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
temperature_c_lag_3d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
temperature_c_lag_7d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
temperature_c_lag_14d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
humidity_pct_lag_1d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
humidity_pct_lag_2d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
humidity_pct_lag_3d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
humidity_pct_lag_7d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
humidity_pct_lag_14d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
wind_speed_kmh_lag_1d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
wind_speed_kmh_lag_2d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
wind_speed_kmh_lag_3d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
wind_speed_kmh_lag_7d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
wind_speed_kmh_lag_14d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
fire_hotspot_count_lag_1d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
fire_hotspot_count_lag_2d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
fire_hotspot_count_lag_3d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
fire_hotspot_count_lag_7d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
fire_hotspot_count_lag_14d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
precipitation_mm_lag_1d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
precipitation_mm_lag_2d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
precipitation_mm_lag_3d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
precipitation_mm_lag_7d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
precipitation_mm_lag_14d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
pm25_roll_mean_3d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
pm25_roll_median_3d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
pm25_roll_max_3d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
pm25_roll_min_3d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
pm25_roll_std_3d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
pm25_roll_var_3d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
pm25_roll_mean_7d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
pm25_roll_median_7d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
pm25_roll_max_7d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
pm25_roll_min_7d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
pm25_roll_std_7d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
pm25_roll_var_7d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
pm25_roll_mean_14d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
pm25_roll_median_14d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
pm25_roll_max_14d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
pm25_roll_min_14d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
pm25_roll_std_14d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
pm25_roll_var_14d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
pm25_roll_mean_30d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
pm25_roll_median_30d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
pm25_roll_max_30d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
pm25_roll_min_30d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
pm25_roll_std_30d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
pm25_roll_var_30d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
pm10_roll_mean_3d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
pm10_roll_median_3d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
pm10_roll_max_3d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
pm10_roll_min_3d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
pm10_roll_std_3d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
pm10_roll_var_3d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
pm10_roll_mean_7d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
pm10_roll_median_7d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
pm10_roll_max_7d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
pm10_roll_min_7d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
pm10_roll_std_7d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
pm10_roll_var_7d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
pm10_roll_mean_14d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
pm10_roll_median_14d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
pm10_roll_max_14d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
pm10_roll_min_14d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
pm10_roll_std_14d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
pm10_roll_var_14d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
pm10_roll_mean_30d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
pm10_roll_median_30d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
pm10_roll_max_30d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
pm10_roll_min_30d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
pm10_roll_std_30d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
pm10_roll_var_30d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
temperature_c_roll_mean_3d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
temperature_c_roll_median_3d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
temperature_c_roll_max_3d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
temperature_c_roll_min_3d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
temperature_c_roll_std_3d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
temperature_c_roll_var_3d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
temperature_c_roll_mean_7d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
temperature_c_roll_median_7d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
temperature_c_roll_max_7d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
temperature_c_roll_min_7d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
temperature_c_roll_std_7d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
temperature_c_roll_var_7d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
temperature_c_roll_mean_14d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
temperature_c_roll_median_14d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
temperature_c_roll_max_14d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
temperature_c_roll_min_14d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
temperature_c_roll_std_14d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
temperature_c_roll_var_14d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
temperature_c_roll_mean_30d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
temperature_c_roll_median_30d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
temperature_c_roll_max_30d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
temperature_c_roll_min_30d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
temperature_c_roll_std_30d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
temperature_c_roll_var_30d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
humidity_pct_roll_mean_3d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
humidity_pct_roll_median_3d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
humidity_pct_roll_max_3d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
humidity_pct_roll_min_3d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
humidity_pct_roll_std_3d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
humidity_pct_roll_var_3d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
humidity_pct_roll_mean_7d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
humidity_pct_roll_median_7d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
humidity_pct_roll_max_7d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
humidity_pct_roll_min_7d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
humidity_pct_roll_std_7d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
humidity_pct_roll_var_7d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
humidity_pct_roll_mean_14d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
humidity_pct_roll_median_14d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
humidity_pct_roll_max_14d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
humidity_pct_roll_min_14d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
humidity_pct_roll_std_14d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
humidity_pct_roll_var_14d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
humidity_pct_roll_mean_30d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
humidity_pct_roll_median_30d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
humidity_pct_roll_max_30d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
humidity_pct_roll_min_30d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
humidity_pct_roll_std_30d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
humidity_pct_roll_var_30d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
fire_hotspot_count_roll_mean_3d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
fire_hotspot_count_roll_median_3d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
fire_hotspot_count_roll_max_3d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
fire_hotspot_count_roll_min_3d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
fire_hotspot_count_roll_std_3d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
fire_hotspot_count_roll_var_3d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
fire_hotspot_count_roll_mean_7d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
fire_hotspot_count_roll_median_7d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
fire_hotspot_count_roll_max_7d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
fire_hotspot_count_roll_min_7d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
fire_hotspot_count_roll_std_7d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
fire_hotspot_count_roll_var_7d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
fire_hotspot_count_roll_mean_14d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
fire_hotspot_count_roll_median_14d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
fire_hotspot_count_roll_max_14d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
fire_hotspot_count_roll_min_14d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
fire_hotspot_count_roll_std_14d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
fire_hotspot_count_roll_var_14d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
fire_hotspot_count_roll_mean_30d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
fire_hotspot_count_roll_median_30d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
fire_hotspot_count_roll_max_30d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
fire_hotspot_count_roll_min_30d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
fire_hotspot_count_roll_std_30d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
fire_hotspot_count_roll_var_30d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
wind_speed_kmh_roll_mean_3d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
wind_speed_kmh_roll_median_3d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
wind_speed_kmh_roll_max_3d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
wind_speed_kmh_roll_min_3d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
wind_speed_kmh_roll_std_3d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
wind_speed_kmh_roll_var_3d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
wind_speed_kmh_roll_mean_7d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
wind_speed_kmh_roll_median_7d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
wind_speed_kmh_roll_max_7d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
wind_speed_kmh_roll_min_7d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
wind_speed_kmh_roll_std_7d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
wind_speed_kmh_roll_var_7d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
wind_speed_kmh_roll_mean_14d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
wind_speed_kmh_roll_median_14d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
wind_speed_kmh_roll_max_14d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
wind_speed_kmh_roll_min_14d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
wind_speed_kmh_roll_std_14d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
wind_speed_kmh_roll_var_14d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
wind_speed_kmh_roll_mean_30d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
wind_speed_kmh_roll_median_30d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
wind_speed_kmh_roll_max_30d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
wind_speed_kmh_roll_min_30d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
wind_speed_kmh_roll_std_30d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
wind_speed_kmh_roll_var_30d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
rainfall_1d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
rainfall_3d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
rainfall_7d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
rain_event_1d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
washout_index_3d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
pblh_1d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
pblh_min_1d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
pblh_roll_mean_3d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
ventilation_index_1d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
aod_550_1d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
aod_roll_mean_3d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
wind_u_component_1d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
wind_v_component_1d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
upwind_stubble_quadrant_1d,safe,none,False,NONE,Validated prediction-safe lagged or rolling feature available at prediction time
