feature_name,availability_class,prediction_safe,reason,source_module
temperature_humidity_index,SAME_DAY_FEATURE,False,Environmental/meteorological observation measured on day t,ml.src.features
is_raining,SAME_DAY_FEATURE,False,Environmental/meteorological observation measured on day t,ml.src.features
consecutive_rain_days,SAME_DAY_FEATURE,False,Environmental/meteorological observation measured on day t,ml.src.features
dry_day_count,SAME_DAY_FEATURE,False,Environmental/meteorological observation measured on day t,ml.src.features
temperature_change,SAME_DAY_FEATURE,False,Environmental/meteorological observation measured on day t,ml.src.features
humidity_change,SAME_DAY_FEATURE,False,Environmental/meteorological observation measured on day t,ml.src.features
pressure_change,SAME_DAY_FEATURE,False,Environmental/meteorological observation measured on day t,ml.src.features
wind_speed_change,SAME_DAY_FEATURE,False,Environmental/meteorological observation measured on day t,ml.src.features
wind_direction_change,SAME_DAY_FEATURE,False,Environmental/meteorological observation measured on day t,ml.src.features
fire_hotspot_sum_7d,SAME_DAY_FEATURE,False,Environmental/meteorological observation measured on day t,ml.src.features
fire_hotspot_sum_14d,SAME_DAY_FEATURE,False,Environmental/meteorological observation measured on day t,ml.src.features
fire_hotspot_ma_3d,SAME_DAY_FEATURE,False,Environmental/meteorological observation measured on day t,ml.src.features
fire_hotspot_ma_7d,SAME_DAY_FEATURE,False,Environmental/meteorological observation measured on day t,ml.src.features
brightness_trend,SAME_DAY_FEATURE,False,Environmental/meteorological observation measured on day t,ml.src.features
high_confidence_fire_ratio,SAME_DAY_FEATURE,False,Environmental/meteorological observation measured on day t,ml.src.features
fire_acceleration,SAME_DAY_FEATURE,False,Environmental/meteorological observation measured on day t,ml.src.features
fire_momentum,SAME_DAY_FEATURE,False,Environmental/meteorological observation measured on day t,ml.src.features
fire_density,SAME_DAY_FEATURE,False,Environmental/meteorological observation measured on day t,ml.src.features
fire_anomaly,SAME_DAY_FEATURE,False,Environmental/meteorological observation measured on day t,ml.src.features
wind_weighted_hotspot_transport_score,SAME_DAY_FEATURE,False,Environmental/meteorological observation measured on day t,ml.src.features
distance_weighted_hotspot_score,SAME_DAY_FEATURE,False,Environmental/meteorological observation measured on day t,ml.src.features
pm25_pm10_ratio,SAME_DAY_FEATURE,False,Environmental/meteorological observation measured on day t,ml.src.features
no2_so2_ratio,SAME_DAY_FEATURE,False,Environmental/meteorological observation measured on day t,ml.src.features
co_normalized,SAME_DAY_FEATURE,False,Environmental/meteorological observation measured on day t,ml.src.features
daily_pollutant_trend,SAME_DAY_FEATURE,False,Environmental/meteorological observation measured on day t,ml.src.features
pollutant_rolling_avg,SAME_DAY_FEATURE,False,Environmental/meteorological observation measured on day t,ml.src.features
pollutant_volatility,SAME_DAY_FEATURE,False,Environmental/meteorological observation measured on day t,ml.src.features
pollutant_zscore,SAME_DAY_FEATURE,False,Environmental/meteorological observation measured on day t,ml.src.features
pollutant_anomaly_score,SAME_DAY_FEATURE,False,Environmental/meteorological observation measured on day t,ml.src.features
fire_count_x_wind_speed,SAME_DAY_FEATURE,False,Environmental/meteorological observation measured on day t,ml.src.features
fire_count_x_wind_dir_nw,SAME_DAY_FEATURE,False,Environmental/meteorological observation measured on day t,ml.src.features
temp_x_humidity,SAME_DAY_FEATURE,False,Environmental/meteorological observation measured on day t,ml.src.features
temp_x_rainfall,SAME_DAY_FEATURE,False,Environmental/meteorological observation measured on day t,ml.src.features
pressure_x_wind,SAME_DAY_FEATURE,False,Environmental/meteorological observation measured on day t,ml.src.features
festival_x_fire_count,SAME_DAY_FEATURE,False,Environmental/meteorological observation measured on day t,ml.src.features
weekend_x_traffic_proxy,SAME_DAY_FEATURE,False,Environmental/meteorological observation measured on day t,ml.src.features
month_x_fire_count,SAME_DAY_FEATURE,False,Environmental/meteorological observation measured on day t,ml.src.features
pm25_lag_1d,SAFE_HISTORICAL_FEATURE,True,Shifted by 1 or more days (information strictly from t-1 or earlier),ml.src.features.utils
pm25_lag_2d,SAFE_HISTORICAL_FEATURE,True,Shifted by 1 or more days (information strictly from t-1 or earlier),ml.src.features.utils
pm25_lag_3d,SAFE_HISTORICAL_FEATURE,True,Shifted by 1 or more days (information strictly from t-1 or earlier),ml.src.features.utils
pm25_lag_7d,SAFE_HISTORICAL_FEATURE,True,Shifted by 1 or more days (information strictly from t-1 or earlier),ml.src.features.utils
pm25_lag_14d,SAFE_HISTORICAL_FEATURE,True,Shifted by 1 or more days (information strictly from t-1 or earlier),ml.src.features.utils
pm10_lag_1d,SAFE_HISTORICAL_FEATURE,True,Shifted by 1 or more days (information strictly from t-1 or earlier),ml.src.features.utils
pm10_lag_2d,SAFE_HISTORICAL_FEATURE,True,Shifted by 1 or more days (information strictly from t-1 or earlier),ml.src.features.utils
pm10_lag_3d,SAFE_HISTORICAL_FEATURE,True,Shifted by 1 or more days (information strictly from t-1 or earlier),ml.src.features.utils
pm10_lag_7d,SAFE_HISTORICAL_FEATURE,True,Shifted by 1 or more days (information strictly from t-1 or earlier),ml.src.features.utils
pm10_lag_14d,SAFE_HISTORICAL_FEATURE,True,Shifted by 1 or more days (information strictly from t-1 or earlier),ml.src.features.utils
no2_lag_1d,SAFE_HISTORICAL_FEATURE,True,Shifted by 1 or more days (information strictly from t-1 or earlier),ml.src.features.utils
no2_lag_2d,SAFE_HISTORICAL_FEATURE,True,Shifted by 1 or more days (information strictly from t-1 or earlier),ml.src.features.utils
no2_lag_3d,SAFE_HISTORICAL_FEATURE,True,Shifted by 1 or more days (information strictly from t-1 or earlier),ml.src.features.utils
no2_lag_7d,SAFE_HISTORICAL_FEATURE,True,Shifted by 1 or more days (information strictly from t-1 or earlier),ml.src.features.utils
no2_lag_14d,SAFE_HISTORICAL_FEATURE,True,Shifted by 1 or more days (information strictly from t-1 or earlier),ml.src.features.utils
temperature_c_lag_1d,SAFE_HISTORICAL_FEATURE,True,Shifted by 1 or more days (information strictly from t-1 or earlier),ml.src.features.utils
temperature_c_lag_2d,SAFE_HISTORICAL_FEATURE,True,Shifted by 1 or more days (information strictly from t-1 or earlier),ml.src.features.utils
temperature_c_lag_3d,SAFE_HISTORICAL_FEATURE,True,Shifted by 1 or more days (information strictly from t-1 or earlier),ml.src.features.utils
temperature_c_lag_7d,SAFE_HISTORICAL_FEATURE,True,Shifted by 1 or more days (information strictly from t-1 or earlier),ml.src.features.utils
temperature_c_lag_14d,SAFE_HISTORICAL_FEATURE,True,Shifted by 1 or more days (information strictly from t-1 or earlier),ml.src.features.utils
humidity_pct_lag_1d,SAFE_HISTORICAL_FEATURE,True,Shifted by 1 or more days (information strictly from t-1 or earlier),ml.src.features.utils
humidity_pct_lag_2d,SAFE_HISTORICAL_FEATURE,True,Shifted by 1 or more days (information strictly from t-1 or earlier),ml.src.features.utils
humidity_pct_lag_3d,SAFE_HISTORICAL_FEATURE,True,Shifted by 1 or more days (information strictly from t-1 or earlier),ml.src.features.utils
humidity_pct_lag_7d,SAFE_HISTORICAL_FEATURE,True,Shifted by 1 or more days (information strictly from t-1 or earlier),ml.src.features.utils
humidity_pct_lag_14d,SAFE_HISTORICAL_FEATURE,True,Shifted by 1 or more days (information strictly from t-1 or earlier),ml.src.features.utils
wind_speed_kmh_lag_1d,SAFE_HISTORICAL_FEATURE,True,Shifted by 1 or more days (information strictly from t-1 or earlier),ml.src.features.utils
wind_speed_kmh_lag_2d,SAFE_HISTORICAL_FEATURE,True,Shifted by 1 or more days (information strictly from t-1 or earlier),ml.src.features.utils
wind_speed_kmh_lag_3d,SAFE_HISTORICAL_FEATURE,True,Shifted by 1 or more days (information strictly from t-1 or earlier),ml.src.features.utils
wind_speed_kmh_lag_7d,SAFE_HISTORICAL_FEATURE,True,Shifted by 1 or more days (information strictly from t-1 or earlier),ml.src.features.utils
wind_speed_kmh_lag_14d,SAFE_HISTORICAL_FEATURE,True,Shifted by 1 or more days (information strictly from t-1 or earlier),ml.src.features.utils
fire_hotspot_count_lag_1d,SAFE_HISTORICAL_FEATURE,True,Shifted by 1 or more days (information strictly from t-1 or earlier),ml.src.features.utils
fire_hotspot_count_lag_2d,SAFE_HISTORICAL_FEATURE,True,Shifted by 1 or more days (information strictly from t-1 or earlier),ml.src.features.utils
fire_hotspot_count_lag_3d,SAFE_HISTORICAL_FEATURE,True,Shifted by 1 or more days (information strictly from t-1 or earlier),ml.src.features.utils
fire_hotspot_count_lag_7d,SAFE_HISTORICAL_FEATURE,True,Shifted by 1 or more days (information strictly from t-1 or earlier),ml.src.features.utils
fire_hotspot_count_lag_14d,SAFE_HISTORICAL_FEATURE,True,Shifted by 1 or more days (information strictly from t-1 or earlier),ml.src.features.utils
precipitation_mm_lag_1d,SAFE_HISTORICAL_FEATURE,True,Shifted by 1 or more days (information strictly from t-1 or earlier),ml.src.features.utils
precipitation_mm_lag_2d,SAFE_HISTORICAL_FEATURE,True,Shifted by 1 or more days (information strictly from t-1 or earlier),ml.src.features.utils
precipitation_mm_lag_3d,SAFE_HISTORICAL_FEATURE,True,Shifted by 1 or more days (information strictly from t-1 or earlier),ml.src.features.utils
precipitation_mm_lag_7d,SAFE_HISTORICAL_FEATURE,True,Shifted by 1 or more days (information strictly from t-1 or earlier),ml.src.features.utils
precipitation_mm_lag_14d,SAFE_HISTORICAL_FEATURE,True,Shifted by 1 or more days (information strictly from t-1 or earlier),ml.src.features.utils
pm25_roll_mean_3d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
pm25_roll_median_3d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
pm25_roll_max_3d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
pm25_roll_min_3d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
pm25_roll_std_3d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
pm25_roll_var_3d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
pm25_roll_mean_7d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
pm25_roll_median_7d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
pm25_roll_max_7d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
pm25_roll_min_7d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
pm25_roll_std_7d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
pm25_roll_var_7d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
pm25_roll_mean_14d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
pm25_roll_median_14d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
pm25_roll_max_14d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
pm25_roll_min_14d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
pm25_roll_std_14d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
pm25_roll_var_14d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
pm25_roll_mean_30d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
pm25_roll_median_30d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
pm25_roll_max_30d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
pm25_roll_min_30d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
pm25_roll_std_30d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
pm25_roll_var_30d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
pm10_roll_mean_3d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
pm10_roll_median_3d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
pm10_roll_max_3d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
pm10_roll_min_3d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
pm10_roll_std_3d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
pm10_roll_var_3d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
pm10_roll_mean_7d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
pm10_roll_median_7d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
pm10_roll_max_7d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
pm10_roll_min_7d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
pm10_roll_std_7d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
pm10_roll_var_7d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
pm10_roll_mean_14d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
pm10_roll_median_14d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
pm10_roll_max_14d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
pm10_roll_min_14d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
pm10_roll_std_14d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
pm10_roll_var_14d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
pm10_roll_mean_30d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
pm10_roll_median_30d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
pm10_roll_max_30d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
pm10_roll_min_30d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
pm10_roll_std_30d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
pm10_roll_var_30d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
temperature_c_roll_mean_3d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
temperature_c_roll_median_3d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
temperature_c_roll_max_3d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
temperature_c_roll_min_3d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
temperature_c_roll_std_3d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
temperature_c_roll_var_3d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
temperature_c_roll_mean_7d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
temperature_c_roll_median_7d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
temperature_c_roll_max_7d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
temperature_c_roll_min_7d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
temperature_c_roll_std_7d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
temperature_c_roll_var_7d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
temperature_c_roll_mean_14d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
temperature_c_roll_median_14d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
temperature_c_roll_max_14d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
temperature_c_roll_min_14d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
temperature_c_roll_std_14d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
temperature_c_roll_var_14d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
temperature_c_roll_mean_30d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
temperature_c_roll_median_30d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
temperature_c_roll_max_30d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
temperature_c_roll_min_30d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
temperature_c_roll_std_30d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
temperature_c_roll_var_30d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
humidity_pct_roll_mean_3d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
humidity_pct_roll_median_3d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
humidity_pct_roll_max_3d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
humidity_pct_roll_min_3d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
humidity_pct_roll_std_3d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
humidity_pct_roll_var_3d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
humidity_pct_roll_mean_7d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
humidity_pct_roll_median_7d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
humidity_pct_roll_max_7d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
humidity_pct_roll_min_7d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
humidity_pct_roll_std_7d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
humidity_pct_roll_var_7d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
humidity_pct_roll_mean_14d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
humidity_pct_roll_median_14d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
humidity_pct_roll_max_14d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
humidity_pct_roll_min_14d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
humidity_pct_roll_std_14d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
humidity_pct_roll_var_14d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
humidity_pct_roll_mean_30d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
humidity_pct_roll_median_30d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
humidity_pct_roll_max_30d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
humidity_pct_roll_min_30d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
humidity_pct_roll_std_30d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
humidity_pct_roll_var_30d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
fire_hotspot_count_roll_mean_3d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
fire_hotspot_count_roll_median_3d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
fire_hotspot_count_roll_max_3d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
fire_hotspot_count_roll_min_3d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
fire_hotspot_count_roll_std_3d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
fire_hotspot_count_roll_var_3d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
fire_hotspot_count_roll_mean_7d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
fire_hotspot_count_roll_median_7d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
fire_hotspot_count_roll_max_7d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
fire_hotspot_count_roll_min_7d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
fire_hotspot_count_roll_std_7d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
fire_hotspot_count_roll_var_7d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
fire_hotspot_count_roll_mean_14d,SAFE_HISTORICAL_FEATURE,True,Rolling statistic computed on shifted series (shifted by 1 day),ml.src.features.utils
