trajectory_id,step_idx,constraint_name,action,corrected_value
T031_L90_WIN,75,pm25_non_negative,CORRECTED,15.0
T031_L90_WIN,87,pm25_non_negative,CORRECTED,15.0
T032_L90_SUM,9,pm25_non_negative,CORRECTED,15.0
T032_L90_SUM,11,pm25_non_negative,CORRECTED,15.0
T032_L90_SUM,18,pm25_non_negative,CORRECTED,15.0
T032_L90_SUM,19,pm25_non_negative,CORRECTED,15.0
T032_L90_SUM,20,pm25_non_negative,CORRECTED,15.0
T032_L90_SUM,30,pm25_non_negative,CORRECTED,15.0
T032_L90_SUM,52,pm25_non_negative,CORRECTED,15.0
T032_L90_SUM,58,pm25_non_negative,CORRECTED,15.0
T032_L90_SUM,65,pm25_non_negative,CORRECTED,15.0
T032_L90_SUM,71,pm25_non_negative,CORRECTED,15.0
T032_L90_SUM,77,pm25_non_negative,CORRECTED,15.0
T032_L90_SUM,80,pm25_non_negative,CORRECTED,15.0
T032_L90_SUM,81,pm25_non_negative,CORRECTED,15.0
T032_L90_SUM,84,pm25_non_negative,CORRECTED,15.0
T033_L90_MON,7,pm25_non_negative,CORRECTED,15.0
T033_L90_MON,18,pm25_non_negative,CORRECTED,15.0
T033_L90_MON,20,pm25_non_negative,CORRECTED,15.0
T033_L90_MON,31,pm25_non_negative,CORRECTED,15.0
T033_L90_MON,32,pm25_non_negative,CORRECTED,15.0
T033_L90_MON,37,pm25_non_negative,CORRECTED,15.0
T033_L90_MON,40,pm25_non_negative,CORRECTED,15.0
T033_L90_MON,47,pm25_non_negative,CORRECTED,15.0
T033_L90_MON,48,pm25_non_negative,CORRECTED,15.0
T033_L90_MON,52,pm25_non_negative,CORRECTED,15.0
T033_L90_MON,61,pm25_non_negative,CORRECTED,15.0
T033_L90_MON,65,pm25_non_negative,CORRECTED,15.0
T033_L90_MON,66,pm25_non_negative,CORRECTED,15.0
T033_L90_MON,68,pm25_non_negative,CORRECTED,15.0
T033_L90_MON,70,pm25_non_negative,CORRECTED,15.0
T033_L90_MON,79,pm25_non_negative,CORRECTED,15.0
T033_L90_MON,80,pm25_non_negative,CORRECTED,15.0
T033_L90_MON,84,pm25_non_negative,CORRECTED,15.0
T033_L90_MON,85,pm25_non_negative,CORRECTED,15.0
T033_L90_MON,86,pm25_non_negative,CORRECTED,15.0
T033_L90_MON,88,pm25_non_negative,CORRECTED,15.0
T033_L90_MON,89,pm25_non_negative,CORRECTED,15.0
T035_L90_WIN,45,pm25_upper_bound,CORRECTED,450.0
T035_L90_WIN,71,pm25_non_negative,CORRECTED,15.0
T035_L90_WIN,77,pm25_non_negative,CORRECTED,15.0
T035_L90_WIN,84,pm25_non_negative,CORRECTED,15.0
T035_L90_WIN,87,pm25_non_negative,CORRECTED,15.0
