feature_A,feature_B,pearson_correlation,spearman_correlation,feature_group_A,feature_group_B,proposed_representative,reason
temperature_c_lag_1d,temperature_c_roll_mean_3d,0.9905,0.9835,meteorological,meteorological,temperature_c_lag_1d,"High pairwise correlation (Pearson: 0.9905, Spearman: 0.9835)"
temperature_c_lag_1d,temperature_c_roll_median_3d,0.9884,0.9814,meteorological,meteorological,temperature_c_lag_1d,"High pairwise correlation (Pearson: 0.9884, Spearman: 0.9814)"
temperature_c_lag_1d,temperature_c_roll_max_3d,0.9854,0.9767,meteorological,meteorological,temperature_c_lag_1d,"High pairwise correlation (Pearson: 0.9854, Spearman: 0.9767)"
temperature_c_lag_1d,temperature_c_roll_min_3d,0.99,0.9847,meteorological,meteorological,temperature_c_lag_1d,"High pairwise correlation (Pearson: 0.9900, Spearman: 0.9847)"
temperature_c_lag_1d,temperature_c_roll_mean_7d,0.97,0.9476,meteorological,meteorological,temperature_c_lag_1d,"High pairwise correlation (Pearson: 0.9700, Spearman: 0.9476)"
temperature_c_lag_1d,temperature_c_roll_median_7d,0.9674,0.9477,meteorological,meteorological,temperature_c_lag_1d,"High pairwise correlation (Pearson: 0.9674, Spearman: 0.9477)"
temperature_c_lag_1d,temperature_c_roll_max_7d,0.9602,0.9364,meteorological,meteorological,temperature_c_lag_1d,"High pairwise correlation (Pearson: 0.9602, Spearman: 0.9364)"
temperature_c_lag_1d,temperature_c_roll_min_7d,0.9657,0.9483,meteorological,meteorological,temperature_c_lag_1d,"High pairwise correlation (Pearson: 0.9657, Spearman: 0.9483)"
temperature_c_lag_2d,temperature_c_lag_3d,0.9859,0.9769,meteorological,meteorological,temperature_c_lag_2d,"High pairwise correlation (Pearson: 0.9859, Spearman: 0.9769)"
temperature_c_lag_2d,temperature_c_roll_mean_3d,0.9977,0.9953,meteorological,meteorological,temperature_c_lag_2d,"High pairwise correlation (Pearson: 0.9977, Spearman: 0.9953)"
temperature_c_lag_2d,temperature_c_roll_median_3d,0.9984,0.9967,meteorological,meteorological,temperature_c_lag_2d,"High pairwise correlation (Pearson: 0.9984, Spearman: 0.9967)"
temperature_c_lag_2d,temperature_c_roll_max_3d,0.9933,0.9891,meteorological,meteorological,temperature_c_lag_2d,"High pairwise correlation (Pearson: 0.9933, Spearman: 0.9891)"
temperature_c_lag_2d,temperature_c_roll_min_3d,0.9933,0.9894,meteorological,meteorological,temperature_c_lag_2d,"High pairwise correlation (Pearson: 0.9933, Spearman: 0.9894)"
temperature_c_lag_2d,temperature_c_roll_mean_7d,0.9812,0.9662,meteorological,meteorological,temperature_c_lag_2d,"High pairwise correlation (Pearson: 0.9812, Spearman: 0.9662)"
temperature_c_lag_2d,temperature_c_roll_median_7d,0.9794,0.9666,meteorological,meteorological,temperature_c_lag_2d,"High pairwise correlation (Pearson: 0.9794, Spearman: 0.9666)"
temperature_c_lag_2d,temperature_c_roll_max_7d,0.968,0.9499,meteorological,meteorological,temperature_c_lag_2d,"High pairwise correlation (Pearson: 0.9680, Spearman: 0.9499)"
temperature_c_lag_2d,temperature_c_roll_min_7d,0.9752,0.9616,meteorological,meteorological,temperature_c_lag_2d,"High pairwise correlation (Pearson: 0.9752, Spearman: 0.9616)"
temperature_c_lag_2d,temperature_c_roll_mean_14d,0.9559,0.9144,meteorological,meteorological,temperature_c_lag_2d,"High pairwise correlation (Pearson: 0.9559, Spearman: 0.9144)"
temperature_c_lag_2d,temperature_c_roll_median_14d,0.9547,0.9148,meteorological,meteorological,temperature_c_lag_2d,"High pairwise correlation (Pearson: 0.9547, Spearman: 0.9148)"
temperature_c_lag_3d,temperature_c_roll_mean_3d,0.9905,0.9856,meteorological,meteorological,temperature_c_lag_3d,"High pairwise correlation (Pearson: 0.9905, Spearman: 0.9856)"
temperature_c_lag_3d,temperature_c_roll_median_3d,0.989,0.9827,meteorological,meteorological,temperature_c_lag_3d,"High pairwise correlation (Pearson: 0.9890, Spearman: 0.9827)"
temperature_c_lag_3d,temperature_c_roll_max_3d,0.9899,0.9853,meteorological,meteorological,temperature_c_lag_3d,"High pairwise correlation (Pearson: 0.9899, Spearman: 0.9853)"
temperature_c_lag_3d,temperature_c_roll_min_3d,0.9849,0.9762,meteorological,meteorological,temperature_c_lag_3d,"High pairwise correlation (Pearson: 0.9849, Spearman: 0.9762)"
temperature_c_lag_3d,temperature_c_roll_mean_7d,0.9876,0.9776,meteorological,meteorological,temperature_c_lag_3d,"High pairwise correlation (Pearson: 0.9876, Spearman: 0.9776)"
temperature_c_lag_3d,temperature_c_roll_median_7d,0.988,0.9795,meteorological,meteorological,temperature_c_lag_3d,"High pairwise correlation (Pearson: 0.9880, Spearman: 0.9795)"
temperature_c_lag_3d,temperature_c_roll_max_7d,0.9735,0.9592,meteorological,meteorological,temperature_c_lag_3d,"High pairwise correlation (Pearson: 0.9735, Spearman: 0.9592)"
temperature_c_lag_3d,temperature_c_roll_min_7d,0.978,0.9656,meteorological,meteorological,temperature_c_lag_3d,"High pairwise correlation (Pearson: 0.9780, Spearman: 0.9656)"
temperature_c_lag_3d,temperature_c_roll_mean_14d,0.9638,0.9288,meteorological,meteorological,temperature_c_lag_3d,"High pairwise correlation (Pearson: 0.9638, Spearman: 0.9288)"
temperature_c_lag_3d,temperature_c_roll_median_14d,0.9628,0.9316,meteorological,meteorological,temperature_c_lag_3d,"High pairwise correlation (Pearson: 0.9628, Spearman: 0.9316)"
temperature_c_lag_3d,temperature_c_roll_max_14d,0.9522,0.9174,meteorological,meteorological,temperature_c_lag_3d,"High pairwise correlation (Pearson: 0.9522, Spearman: 0.9174)"
temperature_c_lag_7d,temperature_c_roll_mean_7d,0.9701,0.9556,meteorological,meteorological,temperature_c_lag_7d,"High pairwise correlation (Pearson: 0.9701, Spearman: 0.9556)"
temperature_c_lag_7d,temperature_c_roll_median_7d,0.9638,0.9477,meteorological,meteorological,temperature_c_lag_7d,"High pairwise correlation (Pearson: 0.9638, Spearman: 0.9477)"
temperature_c_lag_7d,temperature_c_roll_max_7d,0.9675,0.9526,meteorological,meteorological,temperature_c_lag_7d,"High pairwise correlation (Pearson: 0.9675, Spearman: 0.9526)"
temperature_c_lag_7d,temperature_c_roll_min_7d,0.9638,0.9365,meteorological,meteorological,temperature_c_lag_7d,"High pairwise correlation (Pearson: 0.9638, Spearman: 0.9365)"
temperature_c_lag_7d,temperature_c_roll_mean_14d,0.9777,0.9643,meteorological,meteorological,temperature_c_lag_7d,"High pairwise correlation (Pearson: 0.9777, Spearman: 0.9643)"
temperature_c_lag_7d,temperature_c_roll_median_14d,0.9793,0.9714,meteorological,meteorological,temperature_c_lag_7d,"High pairwise correlation (Pearson: 0.9793, Spearman: 0.9714)"
temperature_c_lag_7d,temperature_c_roll_max_14d,0.9574,0.9286,meteorological,meteorological,temperature_c_lag_7d,"High pairwise correlation (Pearson: 0.9574, Spearman: 0.9286)"
temperature_c_lag_7d,temperature_c_roll_min_14d,0.9558,0.9287,meteorological,meteorological,temperature_c_lag_7d,"High pairwise correlation (Pearson: 0.9558, Spearman: 0.9287)"
temperature_c_lag_14d,temperature_c_roll_mean_30d,0.9579,0.9154,meteorological,meteorological,temperature_c_lag_14d,"High pairwise correlation (Pearson: 0.9579, Spearman: 0.9154)"
temperature_c_lag_14d,temperature_c_roll_median_30d,0.9586,0.9146,meteorological,meteorological,temperature_c_lag_14d,"High pairwise correlation (Pearson: 0.9586, Spearman: 0.9146)"
humidity_pct_lag_1d,humidity_pct_roll_mean_3d,0.9557,0.9412,meteorological,meteorological,humidity_pct_lag_1d,"High pairwise correlation (Pearson: 0.9557, Spearman: 0.9412)"
humidity_pct_lag_2d,humidity_pct_roll_mean_3d,0.9884,0.9834,meteorological,meteorological,humidity_pct_lag_2d,"High pairwise correlation (Pearson: 0.9884, Spearman: 0.9834)"
humidity_pct_lag_2d,humidity_pct_roll_median_3d,0.9907,0.9859,meteorological,meteorological,humidity_pct_lag_2d,"High pairwise correlation (Pearson: 0.9907, Spearman: 0.9859)"
humidity_pct_lag_2d,humidity_pct_roll_max_3d,0.9669,0.955,meteorological,meteorological,humidity_pct_lag_2d,"High pairwise correlation (Pearson: 0.9669, Spearman: 0.9550)"
humidity_pct_lag_2d,humidity_pct_roll_min_3d,0.9677,0.9573,meteorological,meteorological,humidity_pct_lag_2d,"High pairwise correlation (Pearson: 0.9677, Spearman: 0.9573)"
humidity_pct_lag_3d,humidity_pct_roll_mean_3d,0.9554,0.9437,meteorological,meteorological,humidity_pct_lag_3d,"High pairwise correlation (Pearson: 0.9554, Spearman: 0.9437)"
humidity_pct_lag_3d,humidity_pct_roll_min_3d,0.9506,0.9351,meteorological,meteorological,humidity_pct_lag_3d,"High pairwise correlation (Pearson: 0.9506, Spearman: 0.9351)"
pm25_roll_mean_3d,pm25_roll_median_3d,0.9892,0.9905,pm25_historical,pm25_historical,pm25_roll_mean_3d,"High pairwise correlation (Pearson: 0.9892, Spearman: 0.9905)"
pm25_roll_mean_3d,pm25_roll_max_3d,0.9861,0.9798,pm25_historical,pm25_historical,pm25_roll_max_3d,"High pairwise correlation (Pearson: 0.9861, Spearman: 0.9798)"
pm25_roll_mean_3d,pm25_roll_min_3d,0.9741,0.9751,pm25_historical,pm25_historical,pm25_roll_min_3d,"High pairwise correlation (Pearson: 0.9741, Spearman: 0.9751)"
pm25_roll_mean_3d,pm25_roll_mean_7d,0.9786,0.9689,pm25_historical,pm25_historical,pm25_roll_mean_3d,"High pairwise correlation (Pearson: 0.9786, Spearman: 0.9689)"
pm25_roll_mean_3d,pm25_roll_median_7d,0.9711,0.9643,pm25_historical,pm25_historical,pm25_roll_mean_3d,"High pairwise correlation (Pearson: 0.9711, Spearman: 0.9643)"
pm25_roll_mean_3d,pm25_roll_max_7d,0.9582,0.9415,pm25_historical,pm25_historical,pm25_roll_max_7d,"High pairwise correlation (Pearson: 0.9582, Spearman: 0.9415)"
pm25_roll_mean_3d,pm25_roll_mean_14d,0.9569,0.9424,pm25_historical,pm25_historical,pm25_roll_mean_3d,"High pairwise correlation (Pearson: 0.9569, Spearman: 0.9424)"
pm25_roll_mean_3d,pm25_roll_median_14d,0.9542,0.939,pm25_historical,pm25_historical,pm25_roll_mean_3d,"High pairwise correlation (Pearson: 0.9542, Spearman: 0.9390)"
pm25_roll_mean_3d,pm10_roll_mean_3d,0.9777,0.9802,pm25_historical,other_pollutant_historical,pm25_roll_mean_3d,"High pairwise correlation (Pearson: 0.9777, Spearman: 0.9802)"
pm25_roll_mean_3d,pm10_roll_median_3d,0.9602,0.9606,pm25_historical,other_pollutant_historical,pm25_roll_mean_3d,"High pairwise correlation (Pearson: 0.9602, Spearman: 0.9606)"
pm25_roll_mean_3d,pm10_roll_max_3d,0.9654,0.9649,pm25_historical,other_pollutant_historical,pm10_roll_max_3d,"High pairwise correlation (Pearson: 0.9654, Spearman: 0.9649)"
pm25_roll_mean_3d,pm10_roll_mean_7d,0.9577,0.9545,pm25_historical,other_pollutant_historical,pm25_roll_mean_3d,"High pairwise correlation (Pearson: 0.9577, Spearman: 0.9545)"
pm25_roll_median_3d,pm25_roll_max_3d,0.9647,0.965,pm25_historical,pm25_historical,pm25_roll_max_3d,"High pairwise correlation (Pearson: 0.9647, Spearman: 0.9650)"
pm25_roll_median_3d,pm25_roll_min_3d,0.9528,0.9554,pm25_historical,pm25_historical,pm25_roll_min_3d,"High pairwise correlation (Pearson: 0.9528, Spearman: 0.9554)"
pm25_roll_median_3d,pm25_roll_mean_7d,0.9571,0.9562,pm25_historical,pm25_historical,pm25_roll_mean_7d,"High pairwise correlation (Pearson: 0.9571, Spearman: 0.9562)"
pm25_roll_median_3d,pm25_roll_median_7d,0.9532,0.9553,pm25_historical,pm25_historical,pm25_roll_median_3d,"High pairwise correlation (Pearson: 0.9532, Spearman: 0.9553)"
pm25_roll_median_3d,pm10_roll_mean_3d,0.9707,0.9768,pm25_historical,other_pollutant_historical,pm10_roll_mean_3d,"High pairwise correlation (Pearson: 0.9707, Spearman: 0.9768)"
pm25_roll_median_3d,pm10_roll_median_3d,0.9733,0.9736,pm25_historical,other_pollutant_historical,pm25_roll_median_3d,"High pairwise correlation (Pearson: 0.9733, Spearman: 0.9736)"
pm25_roll_median_3d,pm10_roll_max_3d,0.9493,0.9584,pm25_historical,other_pollutant_historical,pm10_roll_max_3d,"High pairwise correlation (Pearson: 0.9493, Spearman: 0.9584)"
pm25_roll_max_3d,pm25_roll_mean_7d,0.974,0.9616,pm25_historical,pm25_historical,pm25_roll_max_3d,"High pairwise correlation (Pearson: 0.9740, Spearman: 0.9616)"
pm25_roll_max_3d,pm25_roll_median_7d,0.9635,0.9559,pm25_historical,pm25_historical,pm25_roll_max_3d,"High pairwise correlation (Pearson: 0.9635, Spearman: 0.9559)"
pm25_roll_max_3d,pm25_roll_max_7d,0.9693,0.9533,pm25_historical,pm25_historical,pm25_roll_max_3d,"High pairwise correlation (Pearson: 0.9693, Spearman: 0.9533)"
pm25_roll_max_3d,pm25_roll_mean_14d,0.9561,0.9345,pm25_historical,pm25_historical,pm25_roll_max_3d,"High pairwise correlation (Pearson: 0.9561, Spearman: 0.9345)"
pm25_roll_max_3d,pm25_roll_median_14d,0.9528,0.9328,pm25_historical,pm25_historical,pm25_roll_max_3d,"High pairwise correlation (Pearson: 0.9528, Spearman: 0.9328)"
pm25_roll_max_3d,pm10_roll_mean_3d,0.9571,0.9589,pm25_historical,other_pollutant_historical,pm25_roll_max_3d,"High pairwise correlation (Pearson: 0.9571, Spearman: 0.9589)"
pm25_roll_max_3d,pm10_roll_max_3d,0.9739,0.9741,pm25_historical,other_pollutant_historical,pm25_roll_max_3d,"High pairwise correlation (Pearson: 0.9739, Spearman: 0.9741)"
pm25_roll_min_3d,pm25_roll_mean_7d,0.9539,0.9538,pm25_historical,pm25_historical,pm25_roll_min_3d,"High pairwise correlation (Pearson: 0.9539, Spearman: 0.9538)"
pm25_roll_min_3d,pm25_roll_min_7d,0.9489,0.9501,pm25_historical,pm25_historical,pm25_roll_min_3d,"High pairwise correlation (Pearson: 0.9489, Spearman: 0.9501)"
pm25_roll_min_3d,pm10_roll_mean_3d,0.9582,0.9594,pm25_historical,other_pollutant_historical,pm25_roll_min_3d,"High pairwise correlation (Pearson: 0.9582, Spearman: 0.9594)"
pm25_roll_min_3d,pm10_roll_min_3d,0.973,0.9663,pm25_historical,other_pollutant_historical,pm25_roll_min_3d,"High pairwise correlation (Pearson: 0.9730, Spearman: 0.9663)"
pm25_roll_std_3d,pm25_roll_var_3d,0.9466,1.0,pm25_historical,pm25_historical,pm25_roll_std_3d,"High pairwise correlation (Pearson: 0.9466, Spearman: 1.0000)"
pm25_roll_mean_7d,pm25_roll_median_7d,0.9919,0.9911,pm25_historical,pm25_historical,pm25_roll_mean_7d,"High pairwise correlation (Pearson: 0.9919, Spearman: 0.9911)"
pm25_roll_mean_7d,pm25_roll_max_7d,0.9816,0.9625,pm25_historical,pm25_historical,pm25_roll_max_7d,"High pairwise correlation (Pearson: 0.9816, Spearman: 0.9625)"
pm25_roll_mean_7d,pm25_roll_min_7d,0.9665,0.9573,pm25_historical,pm25_historical,pm25_roll_min_7d,"High pairwise correlation (Pearson: 0.9665, Spearman: 0.9573)"
pm25_roll_mean_7d,pm25_roll_mean_14d,0.9849,0.971,pm25_historical,pm25_historical,pm25_roll_mean_7d,"High pairwise correlation (Pearson: 0.9849, Spearman: 0.9710)"
pm25_roll_mean_7d,pm25_roll_median_14d,0.9829,0.9694,pm25_historical,pm25_historical,pm25_roll_mean_7d,"High pairwise correlation (Pearson: 0.9829, Spearman: 0.9694)"
pm25_roll_mean_7d,pm25_roll_max_14d,0.9542,0.9263,pm25_historical,pm25_historical,pm25_roll_mean_7d,"High pairwise correlation (Pearson: 0.9542, Spearman: 0.9263)"
pm25_roll_mean_7d,pm10_roll_mean_3d,0.9522,0.9536,pm25_historical,other_pollutant_historical,pm25_roll_mean_7d,"High pairwise correlation (Pearson: 0.9522, Spearman: 0.9536)"
pm25_roll_mean_7d,pm10_roll_max_3d,0.952,0.95,pm25_historical,other_pollutant_historical,pm10_roll_max_3d,"High pairwise correlation (Pearson: 0.9520, Spearman: 0.9500)"
pm25_roll_mean_7d,pm10_roll_mean_7d,0.9797,0.9864,pm25_historical,other_pollutant_historical,pm25_roll_mean_7d,"High pairwise correlation (Pearson: 0.9797, Spearman: 0.9864)"
pm25_roll_mean_7d,pm10_roll_median_7d,0.9666,0.9664,pm25_historical,other_pollutant_historical,pm25_roll_mean_7d,"High pairwise correlation (Pearson: 0.9666, Spearman: 0.9664)"
pm25_roll_mean_7d,pm10_roll_max_7d,0.9648,0.9613,pm25_historical,other_pollutant_historical,pm10_roll_max_7d,"High pairwise correlation (Pearson: 0.9648, Spearman: 0.9613)"
pm25_roll_mean_7d,pm10_roll_mean_14d,0.9659,0.9581,pm25_historical,other_pollutant_historical,pm25_roll_mean_7d,"High pairwise correlation (Pearson: 0.9659, Spearman: 0.9581)"
pm25_roll_mean_7d,pm10_roll_median_14d,0.9605,0.9489,pm25_historical,other_pollutant_historical,pm25_roll_mean_7d,"High pairwise correlation (Pearson: 0.9605, Spearman: 0.9489)"
pm25_roll_mean_7d,pm10_roll_max_14d,0.9484,0.9514,pm25_historical,other_pollutant_historical,pm25_roll_mean_7d,"High pairwise correlation (Pearson: 0.9484, Spearman: 0.9514)"
pm25_roll_median_7d,pm25_roll_max_7d,0.9637,0.9544,pm25_historical,pm25_historical,pm25_roll_max_7d,"High pairwise correlation (Pearson: 0.9637, Spearman: 0.9544)"
pm25_roll_median_7d,pm25_roll_min_7d,0.9516,0.939,pm25_historical,pm25_historical,pm25_roll_min_7d,"High pairwise correlation (Pearson: 0.9516, Spearman: 0.9390)"
pm25_roll_median_7d,pm25_roll_mean_14d,0.9755,0.968,pm25_historical,pm25_historical,pm25_roll_mean_14d,"High pairwise correlation (Pearson: 0.9755, Spearman: 0.9680)"
pm25_roll_median_7d,pm25_roll_median_14d,0.9753,0.9707,pm25_historical,pm25_historical,pm25_roll_median_7d,"High pairwise correlation (Pearson: 0.9753, Spearman: 0.9707)"
pm25_roll_median_7d,pm10_roll_mean_3d,0.9475,0.9504,pm25_historical,other_pollutant_historical,pm10_roll_mean_3d,"High pairwise correlation (Pearson: 0.9475, Spearman: 0.9504)"
pm25_roll_median_7d,pm10_roll_mean_7d,0.9745,0.9828,pm25_historical,other_pollutant_historical,pm10_roll_mean_7d,"High pairwise correlation (Pearson: 0.9745, Spearman: 0.9828)"
pm25_roll_median_7d,pm10_roll_median_7d,0.9743,0.973,pm25_historical,other_pollutant_historical,pm25_roll_median_7d,"High pairwise correlation (Pearson: 0.9743, Spearman: 0.9730)"
pm25_roll_median_7d,pm10_roll_max_7d,0.9503,0.9608,pm25_historical,other_pollutant_historical,pm10_roll_max_7d,"High pairwise correlation (Pearson: 0.9503, Spearman: 0.9608)"
pm25_roll_median_7d,pm10_roll_mean_14d,0.9592,0.9586,pm25_historical,other_pollutant_historical,pm10_roll_mean_14d,"High pairwise correlation (Pearson: 0.9592, Spearman: 0.9586)"
pm25_roll_median_7d,pm10_roll_median_14d,0.9539,0.9514,pm25_historical,other_pollutant_historical,pm25_roll_median_7d,"High pairwise correlation (Pearson: 0.9539, Spearman: 0.9514)"
pm25_roll_median_7d,pm10_roll_max_14d,0.9385,0.9547,pm25_historical,other_pollutant_historical,pm10_roll_max_14d,"High pairwise correlation (Pearson: 0.9385, Spearman: 0.9547)"
pm25_roll_max_7d,pm25_roll_mean_14d,0.9737,0.9452,pm25_historical,pm25_historical,pm25_roll_max_7d,"High pairwise correlation (Pearson: 0.9737, Spearman: 0.9452)"
pm25_roll_max_7d,pm25_roll_median_14d,0.9698,0.9462,pm25_historical,pm25_historical,pm25_roll_max_7d,"High pairwise correlation (Pearson: 0.9698, Spearman: 0.9462)"
pm25_roll_max_7d,pm25_roll_max_14d,0.9714,0.9425,pm25_historical,pm25_historical,pm25_roll_max_7d,"High pairwise correlation (Pearson: 0.9714, Spearman: 0.9425)"
pm25_roll_max_7d,pm10_roll_mean_7d,0.9536,0.948,pm25_historical,other_pollutant_historical,pm25_roll_max_7d,"High pairwise correlation (Pearson: 0.9536, Spearman: 0.9480)"
pm25_roll_max_7d,pm10_roll_max_7d,0.9749,0.9589,pm25_historical,other_pollutant_historical,pm25_roll_max_7d,"High pairwise correlation (Pearson: 0.9749, Spearman: 0.9589)"
pm25_roll_max_7d,pm10_roll_max_14d,0.9559,0.9404,pm25_historical,other_pollutant_historical,pm25_roll_max_7d,"High pairwise correlation (Pearson: 0.9559, Spearman: 0.9404)"
pm25_roll_min_7d,pm25_roll_mean_14d,0.9516,0.9445,pm25_historical,pm25_historical,pm25_roll_min_7d,"High pairwise correlation (Pearson: 0.9516, Spearman: 0.9445)"
pm25_roll_min_7d,pm10_roll_mean_7d,0.9514,0.9461,pm25_historical,other_pollutant_historical,pm25_roll_min_7d,"High pairwise correlation (Pearson: 0.9514, Spearman: 0.9461)"
pm25_roll_min_7d,pm10_roll_min_7d,0.9712,0.965,pm25_historical,other_pollutant_historical,pm25_roll_min_7d,"High pairwise correlation (Pearson: 0.9712, Spearman: 0.9650)"
pm25_roll_std_7d,pm25_roll_var_7d,0.9618,1.0,pm25_historical,pm25_historical,pm25_roll_std_7d,"High pairwise correlation (Pearson: 0.9618, Spearman: 1.0000)"
pm25_roll_std_7d,pm10_roll_std_7d,0.9598,0.9607,pm25_historical,other_pollutant_historical,pm25_roll_std_7d,"High pairwise correlation (Pearson: 0.9598, Spearman: 0.9607)"
pm25_roll_std_7d,pm10_roll_var_7d,0.9357,0.9607,pm25_historical,other_pollutant_historical,pm25_roll_std_7d,"High pairwise correlation (Pearson: 0.9357, Spearman: 0.9607)"
pm25_roll_var_7d,pm10_roll_std_7d,0.9186,0.9607,pm25_historical,other_pollutant_historical,pm25_roll_var_7d,"High pairwise correlation (Pearson: 0.9186, Spearman: 0.9607)"
pm25_roll_var_7d,pm10_roll_var_7d,0.9618,0.9607,pm25_historical,other_pollutant_historical,pm25_roll_var_7d,"High pairwise correlation (Pearson: 0.9618, Spearman: 0.9607)"
pm25_roll_mean_14d,pm25_roll_median_14d,0.9975,0.9941,pm25_historical,pm25_historical,pm25_roll_mean_14d,"High pairwise correlation (Pearson: 0.9975, Spearman: 0.9941)"
pm25_roll_mean_14d,pm25_roll_max_14d,0.9707,0.9412,pm25_historical,pm25_historical,pm25_roll_max_14d,"High pairwise correlation (Pearson: 0.9707, Spearman: 0.9412)"
pm25_roll_mean_14d,pm25_roll_min_14d,0.9518,0.9391,pm25_historical,pm25_historical,pm25_roll_min_14d,"High pairwise correlation (Pearson: 0.9518, Spearman: 0.9391)"
pm25_roll_mean_14d,pm25_roll_mean_30d,0.9726,0.9416,pm25_historical,pm25_historical,pm25_roll_mean_14d,"High pairwise correlation (Pearson: 0.9726, Spearman: 0.9416)"
pm25_roll_mean_14d,pm25_roll_median_30d,0.9694,0.9356,pm25_historical,pm25_historical,pm25_roll_mean_14d,"High pairwise correlation (Pearson: 0.9694, Spearman: 0.9356)"
pm25_roll_mean_14d,pm10_roll_mean_7d,0.9626,0.9636,pm25_historical,other_pollutant_historical,pm10_roll_mean_7d,"High pairwise correlation (Pearson: 0.9626, Spearman: 0.9636)"
pm25_roll_mean_14d,pm10_roll_max_7d,0.9539,0.9484,pm25_historical,other_pollutant_historical,pm10_roll_max_7d,"High pairwise correlation (Pearson: 0.9539, Spearman: 0.9484)"
pm25_roll_mean_14d,pm10_roll_mean_14d,0.9808,0.9877,pm25_historical,other_pollutant_historical,pm25_roll_mean_14d,"High pairwise correlation (Pearson: 0.9808, Spearman: 0.9877)"
pm25_roll_mean_14d,pm10_roll_median_14d,0.9759,0.9776,pm25_historical,other_pollutant_historical,pm25_roll_mean_14d,"High pairwise correlation (Pearson: 0.9759, Spearman: 0.9776)"
pm25_roll_mean_14d,pm10_roll_max_14d,0.9617,0.9662,pm25_historical,other_pollutant_historical,pm10_roll_max_14d,"High pairwise correlation (Pearson: 0.9617, Spearman: 0.9662)"
pm25_roll_mean_14d,pm10_roll_mean_30d,0.9518,0.923,pm25_historical,other_pollutant_historical,pm25_roll_mean_14d,"High pairwise correlation (Pearson: 0.9518, Spearman: 0.9230)"
pm25_roll_median_14d,pm25_roll_max_14d,0.9614,0.9414,pm25_historical,pm25_historical,pm25_roll_max_14d,"High pairwise correlation (Pearson: 0.9614, Spearman: 0.9414)"
pm25_roll_median_14d,pm25_roll_mean_30d,0.9687,0.9407,pm25_historical,pm25_historical,pm25_roll_mean_30d,"High pairwise correlation (Pearson: 0.9687, Spearman: 0.9407)"
pm25_roll_median_14d,pm25_roll_median_30d,0.9679,0.9389,pm25_historical,pm25_historical,pm25_roll_median_14d,"High pairwise correlation (Pearson: 0.9679, Spearman: 0.9389)"
