feature_name,availability_class,prediction_safe
temperature_change,SAME_DAY_FEATURE,False
humidity_change,SAME_DAY_FEATURE,False
pressure_change,SAME_DAY_FEATURE,False
wind_speed_change,SAME_DAY_FEATURE,False
wind_direction_change,SAME_DAY_FEATURE,False
fire_hotspot_sum_7d,SAME_DAY_FEATURE,False
fire_hotspot_sum_14d,SAME_DAY_FEATURE,False
fire_hotspot_ma_3d,SAME_DAY_FEATURE,False
fire_hotspot_ma_7d,SAME_DAY_FEATURE,False
brightness_trend,SAME_DAY_FEATURE,False
high_confidence_fire_ratio,SAME_DAY_FEATURE,False
fire_acceleration,SAME_DAY_FEATURE,False
fire_momentum,SAME_DAY_FEATURE,False
fire_density,SAME_DAY_FEATURE,False
fire_anomaly,SAME_DAY_FEATURE,False
wind_weighted_hotspot_transport_score,SAME_DAY_FEATURE,False
distance_weighted_hotspot_score,SAME_DAY_FEATURE,False
pm25_pm10_ratio,SAME_DAY_FEATURE,False
no2_so2_ratio,SAME_DAY_FEATURE,False
co_normalized,SAME_DAY_FEATURE,False
daily_pollutant_trend,SAME_DAY_FEATURE,False
pollutant_rolling_avg,SAME_DAY_FEATURE,False
pollutant_volatility,SAME_DAY_FEATURE,False
pollutant_zscore,SAME_DAY_FEATURE,False
pollutant_anomaly_score,SAME_DAY_FEATURE,False
fire_count_x_wind_speed,SAME_DAY_FEATURE,False
fire_count_x_wind_dir_nw,SAME_DAY_FEATURE,False
temp_x_humidity,SAME_DAY_FEATURE,False
temp_x_rainfall,SAME_DAY_FEATURE,False
pressure_x_wind,SAME_DAY_FEATURE,False
festival_x_fire_count,SAME_DAY_FEATURE,False
weekend_x_traffic_proxy,SAME_DAY_FEATURE,False
month_x_fire_count,SAME_DAY_FEATURE,False
pm25_lag_1d,SAFE_HISTORICAL_FEATURE,True
pm25_lag_2d,SAFE_HISTORICAL_FEATURE,True
pm25_lag_3d,SAFE_HISTORICAL_FEATURE,True
pm25_lag_7d,SAFE_HISTORICAL_FEATURE,True
pm25_lag_14d,SAFE_HISTORICAL_FEATURE,True
pm10_lag_1d,SAFE_HISTORICAL_FEATURE,True
pm10_lag_2d,SAFE_HISTORICAL_FEATURE,True
pm10_lag_3d,SAFE_HISTORICAL_FEATURE,True
pm10_lag_7d,SAFE_HISTORICAL_FEATURE,True
pm10_lag_14d,SAFE_HISTORICAL_FEATURE,True
no2_lag_1d,SAME_DAY_FEATURE,False
no2_lag_2d,SAME_DAY_FEATURE,False
no2_lag_3d,SAME_DAY_FEATURE,False
no2_lag_7d,SAME_DAY_FEATURE,False
no2_lag_14d,SAME_DAY_FEATURE,False
temperature_c_lag_1d,SAFE_HISTORICAL_FEATURE,True
temperature_c_lag_2d,SAFE_HISTORICAL_FEATURE,True
temperature_c_lag_3d,SAFE_HISTORICAL_FEATURE,True
temperature_c_lag_7d,SAFE_HISTORICAL_FEATURE,True
temperature_c_lag_14d,SAFE_HISTORICAL_FEATURE,True
humidity_pct_lag_1d,SAFE_HISTORICAL_FEATURE,True
humidity_pct_lag_2d,SAFE_HISTORICAL_FEATURE,True
humidity_pct_lag_3d,SAFE_HISTORICAL_FEATURE,True
humidity_pct_lag_7d,SAFE_HISTORICAL_FEATURE,True
humidity_pct_lag_14d,SAFE_HISTORICAL_FEATURE,True
wind_speed_kmh_lag_1d,SAFE_HISTORICAL_FEATURE,True
wind_speed_kmh_lag_2d,SAFE_HISTORICAL_FEATURE,True
wind_speed_kmh_lag_3d,SAFE_HISTORICAL_FEATURE,True
wind_speed_kmh_lag_7d,SAFE_HISTORICAL_FEATURE,True
wind_speed_kmh_lag_14d,SAFE_HISTORICAL_FEATURE,True
fire_hotspot_count_lag_1d,SAFE_HISTORICAL_FEATURE,True
fire_hotspot_count_lag_2d,SAFE_HISTORICAL_FEATURE,True
fire_hotspot_count_lag_3d,SAFE_HISTORICAL_FEATURE,True
fire_hotspot_count_lag_7d,SAFE_HISTORICAL_FEATURE,True
fire_hotspot_count_lag_14d,SAFE_HISTORICAL_FEATURE,True
precipitation_mm_lag_1d,SAME_DAY_FEATURE,False
precipitation_mm_lag_2d,SAME_DAY_FEATURE,False
precipitation_mm_lag_3d,SAME_DAY_FEATURE,False
precipitation_mm_lag_7d,SAME_DAY_FEATURE,False
precipitation_mm_lag_14d,SAME_DAY_FEATURE,False
pm25_roll_mean_3d,SAFE_HISTORICAL_FEATURE,True
pm25_roll_median_3d,SAFE_HISTORICAL_FEATURE,True
pm25_roll_max_3d,SAFE_HISTORICAL_FEATURE,True
pm25_roll_min_3d,SAFE_HISTORICAL_FEATURE,True
pm25_roll_std_3d,SAFE_HISTORICAL_FEATURE,True
pm25_roll_var_3d,SAFE_HISTORICAL_FEATURE,True
pm25_roll_mean_7d,SAFE_HISTORICAL_FEATURE,True
pm25_roll_median_7d,SAFE_HISTORICAL_FEATURE,True
pm25_roll_max_7d,SAFE_HISTORICAL_FEATURE,True
pm25_roll_min_7d,SAFE_HISTORICAL_FEATURE,True
pm25_roll_std_7d,SAFE_HISTORICAL_FEATURE,True
pm25_roll_var_7d,SAFE_HISTORICAL_FEATURE,True
pm25_roll_mean_14d,SAFE_HISTORICAL_FEATURE,True
pm25_roll_median_14d,SAFE_HISTORICAL_FEATURE,True
pm25_roll_max_14d,SAFE_HISTORICAL_FEATURE,True
pm25_roll_min_14d,SAFE_HISTORICAL_FEATURE,True
pm25_roll_std_14d,SAFE_HISTORICAL_FEATURE,True
pm25_roll_var_14d,SAFE_HISTORICAL_FEATURE,True
pm25_roll_mean_30d,SAFE_HISTORICAL_FEATURE,True
pm25_roll_median_30d,SAFE_HISTORICAL_FEATURE,True
pm25_roll_max_30d,SAFE_HISTORICAL_FEATURE,True
pm25_roll_min_30d,SAFE_HISTORICAL_FEATURE,True
pm25_roll_std_30d,SAFE_HISTORICAL_FEATURE,True
pm25_roll_var_30d,SAFE_HISTORICAL_FEATURE,True
pm10_roll_mean_3d,SAFE_HISTORICAL_FEATURE,True
pm10_roll_median_3d,SAFE_HISTORICAL_FEATURE,True
pm10_roll_max_3d,SAFE_HISTORICAL_FEATURE,True
pm10_roll_min_3d,SAFE_HISTORICAL_FEATURE,True
pm10_roll_std_3d,SAFE_HISTORICAL_FEATURE,True
pm10_roll_var_3d,SAFE_HISTORICAL_FEATURE,True
pm10_roll_mean_7d,SAFE_HISTORICAL_FEATURE,True
pm10_roll_median_7d,SAFE_HISTORICAL_FEATURE,True
pm10_roll_max_7d,SAFE_HISTORICAL_FEATURE,True
pm10_roll_min_7d,SAFE_HISTORICAL_FEATURE,True
pm10_roll_std_7d,SAFE_HISTORICAL_FEATURE,True
pm10_roll_var_7d,SAFE_HISTORICAL_FEATURE,True
pm10_roll_mean_14d,SAFE_HISTORICAL_FEATURE,True
pm10_roll_median_14d,SAFE_HISTORICAL_FEATURE,True
pm10_roll_max_14d,SAFE_HISTORICAL_FEATURE,True
pm10_roll_min_14d,SAFE_HISTORICAL_FEATURE,True
pm10_roll_std_14d,SAFE_HISTORICAL_FEATURE,True
pm10_roll_var_14d,SAFE_HISTORICAL_FEATURE,True
pm10_roll_mean_30d,SAFE_HISTORICAL_FEATURE,True
pm10_roll_median_30d,SAFE_HISTORICAL_FEATURE,True
pm10_roll_max_30d,SAFE_HISTORICAL_FEATURE,True
pm10_roll_min_30d,SAFE_HISTORICAL_FEATURE,True
pm10_roll_std_30d,SAFE_HISTORICAL_FEATURE,True
pm10_roll_var_30d,SAFE_HISTORICAL_FEATURE,True
temperature_c_roll_mean_3d,SAFE_HISTORICAL_FEATURE,True
temperature_c_roll_median_3d,SAFE_HISTORICAL_FEATURE,True
temperature_c_roll_max_3d,SAFE_HISTORICAL_FEATURE,True
temperature_c_roll_min_3d,SAFE_HISTORICAL_FEATURE,True
temperature_c_roll_std_3d,SAFE_HISTORICAL_FEATURE,True
temperature_c_roll_var_3d,SAFE_HISTORICAL_FEATURE,True
temperature_c_roll_mean_7d,SAFE_HISTORICAL_FEATURE,True
temperature_c_roll_median_7d,SAFE_HISTORICAL_FEATURE,True
temperature_c_roll_max_7d,SAFE_HISTORICAL_FEATURE,True
temperature_c_roll_min_7d,SAFE_HISTORICAL_FEATURE,True
temperature_c_roll_std_7d,SAFE_HISTORICAL_FEATURE,True
temperature_c_roll_var_7d,SAFE_HISTORICAL_FEATURE,True
temperature_c_roll_mean_14d,SAFE_HISTORICAL_FEATURE,True
temperature_c_roll_median_14d,SAFE_HISTORICAL_FEATURE,True
temperature_c_roll_max_14d,SAFE_HISTORICAL_FEATURE,True
temperature_c_roll_min_14d,SAFE_HISTORICAL_FEATURE,True
temperature_c_roll_std_14d,SAFE_HISTORICAL_FEATURE,True
temperature_c_roll_var_14d,SAFE_HISTORICAL_FEATURE,True
temperature_c_roll_mean_30d,SAFE_HISTORICAL_FEATURE,True
temperature_c_roll_median_30d,SAFE_HISTORICAL_FEATURE,True
temperature_c_roll_max_30d,SAFE_HISTORICAL_FEATURE,True
temperature_c_roll_min_30d,SAFE_HISTORICAL_FEATURE,True
temperature_c_roll_std_30d,SAFE_HISTORICAL_FEATURE,True
temperature_c_roll_var_30d,SAFE_HISTORICAL_FEATURE,True
humidity_pct_roll_mean_3d,SAFE_HISTORICAL_FEATURE,True
humidity_pct_roll_median_3d,SAFE_HISTORICAL_FEATURE,True
humidity_pct_roll_max_3d,SAFE_HISTORICAL_FEATURE,True
humidity_pct_roll_min_3d,SAFE_HISTORICAL_FEATURE,True
humidity_pct_roll_std_3d,SAFE_HISTORICAL_FEATURE,True
humidity_pct_roll_var_3d,SAFE_HISTORICAL_FEATURE,True
humidity_pct_roll_mean_7d,SAFE_HISTORICAL_FEATURE,True
humidity_pct_roll_median_7d,SAFE_HISTORICAL_FEATURE,True
humidity_pct_roll_max_7d,SAFE_HISTORICAL_FEATURE,True
humidity_pct_roll_min_7d,SAFE_HISTORICAL_FEATURE,True
humidity_pct_roll_std_7d,SAFE_HISTORICAL_FEATURE,True
humidity_pct_roll_var_7d,SAFE_HISTORICAL_FEATURE,True
humidity_pct_roll_mean_14d,SAFE_HISTORICAL_FEATURE,True
humidity_pct_roll_median_14d,SAFE_HISTORICAL_FEATURE,True
humidity_pct_roll_max_14d,SAFE_HISTORICAL_FEATURE,True
humidity_pct_roll_min_14d,SAFE_HISTORICAL_FEATURE,True
humidity_pct_roll_std_14d,SAFE_HISTORICAL_FEATURE,True
humidity_pct_roll_var_14d,SAFE_HISTORICAL_FEATURE,True
humidity_pct_roll_mean_30d,SAFE_HISTORICAL_FEATURE,True
humidity_pct_roll_median_30d,SAFE_HISTORICAL_FEATURE,True
humidity_pct_roll_max_30d,SAFE_HISTORICAL_FEATURE,True
humidity_pct_roll_min_30d,SAFE_HISTORICAL_FEATURE,True
humidity_pct_roll_std_30d,SAFE_HISTORICAL_FEATURE,True
humidity_pct_roll_var_30d,SAFE_HISTORICAL_FEATURE,True
fire_hotspot_count_roll_mean_3d,SAFE_HISTORICAL_FEATURE,True
fire_hotspot_count_roll_median_3d,SAFE_HISTORICAL_FEATURE,True
fire_hotspot_count_roll_max_3d,SAFE_HISTORICAL_FEATURE,True
fire_hotspot_count_roll_min_3d,SAFE_HISTORICAL_FEATURE,True
fire_hotspot_count_roll_std_3d,SAFE_HISTORICAL_FEATURE,True
fire_hotspot_count_roll_var_3d,SAFE_HISTORICAL_FEATURE,True
fire_hotspot_count_roll_mean_7d,SAFE_HISTORICAL_FEATURE,True
fire_hotspot_count_roll_median_7d,SAFE_HISTORICAL_FEATURE,True
fire_hotspot_count_roll_max_7d,SAFE_HISTORICAL_FEATURE,True
fire_hotspot_count_roll_min_7d,SAFE_HISTORICAL_FEATURE,True
fire_hotspot_count_roll_std_7d,SAFE_HISTORICAL_FEATURE,True
fire_hotspot_count_roll_var_7d,SAFE_HISTORICAL_FEATURE,True
fire_hotspot_count_roll_mean_14d,SAFE_HISTORICAL_FEATURE,True
fire_hotspot_count_roll_median_14d,SAFE_HISTORICAL_FEATURE,True
fire_hotspot_count_roll_max_14d,SAFE_HISTORICAL_FEATURE,True
fire_hotspot_count_roll_min_14d,SAFE_HISTORICAL_FEATURE,True
fire_hotspot_count_roll_std_14d,SAFE_HISTORICAL_FEATURE,True
fire_hotspot_count_roll_var_14d,SAFE_HISTORICAL_FEATURE,True
fire_hotspot_count_roll_mean_30d,SAFE_HISTORICAL_FEATURE,True
fire_hotspot_count_roll_median_30d,SAFE_HISTORICAL_FEATURE,True
fire_hotspot_count_roll_max_30d,SAFE_HISTORICAL_FEATURE,True
fire_hotspot_count_roll_min_30d,SAFE_HISTORICAL_FEATURE,True
fire_hotspot_count_roll_std_30d,SAFE_HISTORICAL_FEATURE,True
fire_hotspot_count_roll_var_30d,SAFE_HISTORICAL_FEATURE,True
wind_speed_kmh_roll_mean_3d,SAFE_HISTORICAL_FEATURE,True
wind_speed_kmh_roll_median_3d,SAFE_HISTORICAL_FEATURE,True
wind_speed_kmh_roll_max_3d,SAFE_HISTORICAL_FEATURE,True
wind_speed_kmh_roll_min_3d,SAFE_HISTORICAL_FEATURE,True
wind_speed_kmh_roll_std_3d,SAFE_HISTORICAL_FEATURE,True
wind_speed_kmh_roll_var_3d,SAFE_HISTORICAL_FEATURE,True
wind_speed_kmh_roll_mean_7d,SAFE_HISTORICAL_FEATURE,True
wind_speed_kmh_roll_median_7d,SAFE_HISTORICAL_FEATURE,True
wind_speed_kmh_roll_max_7d,SAFE_HISTORICAL_FEATURE,True
wind_speed_kmh_roll_min_7d,SAFE_HISTORICAL_FEATURE,True
wind_speed_kmh_roll_std_7d,SAFE_HISTORICAL_FEATURE,True
wind_speed_kmh_roll_var_7d,SAFE_HISTORICAL_FEATURE,True
wind_speed_kmh_roll_mean_14d,SAFE_HISTORICAL_FEATURE,True
wind_speed_kmh_roll_median_14d,SAFE_HISTORICAL_FEATURE,True
wind_speed_kmh_roll_max_14d,SAFE_HISTORICAL_FEATURE,True
wind_speed_kmh_roll_min_14d,SAFE_HISTORICAL_FEATURE,True
wind_speed_kmh_roll_std_14d,SAFE_HISTORICAL_FEATURE,True
wind_speed_kmh_roll_var_14d,SAFE_HISTORICAL_FEATURE,True
wind_speed_kmh_roll_mean_30d,SAFE_HISTORICAL_FEATURE,True
wind_speed_kmh_roll_median_30d,SAFE_HISTORICAL_FEATURE,True
wind_speed_kmh_roll_max_30d,SAFE_HISTORICAL_FEATURE,True
wind_speed_kmh_roll_min_30d,SAFE_HISTORICAL_FEATURE,True
wind_speed_kmh_roll_std_30d,SAFE_HISTORICAL_FEATURE,True
wind_speed_kmh_roll_var_30d,SAFE_HISTORICAL_FEATURE,True
